Project Number,Due Date,Start Date,Client Due Date,Address 1,Address 2,City,State,ZIP,Info,Status,Field Status,Client Status,Tasks,Assigned To,Coordinator,Client Code,Reference,Description,Src. Project Provider,Src. Project ID,Src. Project Number,Options
TX011218-121,1/15/2018 0:00,,1/15/2018 0:00,300 Glazner Street,,Hawkins,TX,75765,LB: 8453,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-122,1/15/2018 0:00,,1/15/2018 0:00,2405 N SH 37,,Quitman,TX,75783,LB: 2284,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-132,1/15/2018 0:00,,1/15/2018 0:00,300 Glazner Street,,Hawkins,TX,75765,LB: 8453,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":"""",""instructions"":""Baseboards, door frames and window sills need to wiped down per the Fannie Mae QC team."",""options"":null}]",Jenniferh,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-152,1/15/2018 0:00,,1/15/2018 0:00,275 Ridgeview Dr,,Sherman,TX,75090,LB: 0858,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcuspotter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-156,1/15/2018 0:00,,1/15/2018 0:00,3378 Hwy 51 N,,Weatherford,TX,76088,LB: 8997,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",MarkMoeller,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-162,1/15/2018 0:00,,1/15/2018 0:00,3222 Erwin Road,,Poolville,TX,76487,LB: 2137 | Front Gate: 1695,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",MarkMoeller,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
TX011218-165,1/15/2018 0:00,,1/15/2018 0:00,8113 Knoxville dr,,Amarillo,TX,79118,LB: 6590,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-167,1/15/2018 0:00,,1/15/2018 0:00,1305 Mary Ellen St,,Pampa,TX,79065,LB: 0508,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-168,1/15/2018 0:00,,1/15/2018 0:00,6000 Yale St,,Amarillo,TX,79109,LB: 6252,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-169,1/15/2018 0:00,,1/15/2018 0:00,906 S Avondale St,,Amarillo,TX,79106,LB: 7047,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-180,1/15/2018 0:00,,1/15/2018 0:00,4822 36TH ST,,Lubbock,TX,79414,LB: 0439,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-2,1/15/2018 0:00,,1/15/2018 0:00,412 Locust Street,,Merkel,TX,79536,LB: 9561,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Rubenanahimartinez,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX011218-53,1/15/2018 0:00,,1/15/2018 0:00,3320 W Pinecrest Dr,,Marshall,TX,75670,LB: 2546,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-61,1/15/2018 0:00,,1/15/2018 0:00,3320 W Pinecrest Dr,,Marshall,TX,75670,LB: 2546,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
111-083546,1/15/2018 23:00,,1/15/2018 23:00,"624 Little Horse Trl,",,Fort Worth,TX,76108,LB: 4908,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Roof Tarp - Large"",""survey"":"""",""instructions"":""Per our conversation we have been approved to install another roof tarp, the other vendor installed a large roof tarp where there was one previously. The agent reported that it was still leaking so if you can please assess the leak and then tarp where necessary. As a friendly reminder we are using Brown or Black tarps only, please take your property i.d. photos and a photo of the roof tarp package to show the sizing. Thank you!"",""options"":null}]",MarkMoeller,,,Roof Tarp - Large,$250.00 ,,,,
115-155110,1/15/2018 23:00,,1/15/2018 23:00,401 E North 23rd St,,Abilene,TX,79601,,Invoiced,,Fannie Mae,"[{""serviceName"":""Invoice and Complete Field Services Order"",""survey"":null,""instructions"":"""",""options"":null}]",gssbackup1,,,Invoice and Complete Field Services Order,$240.00 ,,,,
151758,1/15/2018 23:00,1/12/2018 0:00,1/15/2018 23:00,305 Chestnut Bend,,Colleyville,TX,76034,Combo lockbox is 896,Invoiced,Complete,Rob Mauga,"[{""serviceName"":""Winterization"",""survey"":null,""instructions"":""Complete a full winterization"",""options"":null}]",MarkMoeller,,,Winterization,100,,,,
151758__1,1/15/2018 23:00,1/12/2018 0:00,1/15/2018 23:00,305 Chestnut Bend,,Colleyville,TX,76034,Combo lockbox is 896,Invoiced,Complete,Rob Mauga,"[{""serviceName"":""Pool Winterization"",""survey"":null,""instructions"":""Install a workman's faucet in the backyard"",""options"":null}]",MarkMoeller,,,Pool Winterization,150,,,,
152253,1/15/2018 23:00,1/12/2018 0:00,1/15/2018 23:00,3045 Monument Butte,,Grapevine,TX,76051,Combo lockbox is 156,Invoiced,Complete,Rob Mauga,"[{""serviceName"":""Periodic Lawn"",""survey"":null,""instructions"":""Complete a mow\/edge at this property only. If any additional work needs to be completed please email the bid over."",""options"":null}]",MarkMoeller,,,Periodic Lawn,30,,,,
152253__1,1/15/2018 23:00,1/12/2018 0:00,1/15/2018 23:00,3045 Monument Butte,,Grapevine,TX,76051,Combo lockbox is 156,Invoiced,Complete,Rob Mauga,"[{""serviceName"":""Winterization"",""survey"":null,""instructions"":""Complete full winterization"",""options"":null}]",MarkMoeller,,,Winterization,100,,,,
152253__2,1/15/2018 23:00,1/12/2018 0:00,1/15/2018 23:00,3045 Monument Butte,,Grapevine,TX,76051,Combo lockbox is 156,Invoiced,Complete,Rob Mauga,"[{""serviceName"":""Pool winterization"",""survey"":null,""instructions"":""Install a workman's faucet in the backyard."",""options"":null}]",MarkMoeller,,,Pool Winterization,150,,,,
VP17-00129,1/15/2018 23:00,1/12/2018 0:00,1/15/2018 23:00,4424 CLEVELAND DR,,Plano,TX,75093,,Invoiced,Complete,City of Plano,"[{""serviceName"":""COP_ Trash removal"",""survey"":null,""instructions"":""Remove 8 CY of fence debris and limbs that are in the center of the backyard."",""options"":null}]",wemowdallas,,,COP: Trash removal,120,,,,
OK011218-1,1/16/2018 0:00,,1/16/2018 0:00,1504 SOMERSET PL,,DUNCAN,OK,73533,LB: 3776,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK011218-2,1/16/2018 0:00,,1/16/2018 0:00,11 NW 59TH ST,,LAWTON,OK,73505,LB: 7873,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK011218-22,1/16/2018 0:00,,1/16/2018 0:00,11401 SOUTHEAST 9TH STRE,,Oklahoma City,OK,73165,LB: 2404,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK011218-35,1/16/2018 0:00,,1/16/2018 0:00,1706 IRVING ST,,MUSKOGEE,OK,74403,LB: 1871,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",jeremyjennings,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX011218-117,1/16/2018 0:00,,1/16/2018 0:00,4634 SE 1000,,Andrews,TX,79714,LB: 6118,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",JuanDelgado,,,(Ongoing Ext) Periodic Lawn,$50.00 ,,,,
TX011218-123,1/16/2018 0:00,,1/16/2018 0:00,176 Mesa Verde Path,,Hawkins,TX,75765,LB: 9218,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-124,1/16/2018 0:00,,1/16/2018 0:00,1580 County Road 2800,,Mineola,TX,75773,LB: 6539,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-153,1/16/2018 0:00,,1/16/2018 0:00,807 5th St,,Honey Grove,TX,75446,LB: 0895,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcuspotter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-157,1/16/2018 0:00,,1/16/2018 0:00,600 Western Hills T,,Granbury,TX,76049,LB: 0429,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",MarkMoeller,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-159,1/16/2018 0:00,1/17/2018 0:00,1/16/2018 0:00,2506 Se 14th St,,Mineral Wells,TX,76067,LB: 1598,Invoiced,,Fannie Mae,"[{""serviceName"":""Invoice And Complete Field Services Order"",""survey"":null,""instructions"":"""",""options"":null}]",gssbackup1,,,240,Invoice And Complete Field Services Order,,,,
TX011218-170,1/16/2018 0:00,,1/16/2018 0:00,1544 Smiley St,,Amarillo,TX,79106,LB: 0268,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX011218-171,1/16/2018 0:00,,1/16/2018 0:00,302 W Wichita St,,Miami,TX,79059,LB: 8068,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX011218-172,1/16/2018 0:00,,1/16/2018 0:00,1613 S Palo Duro St,,Amarillo,TX,79106,LB: 1663,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-181,1/16/2018 0:00,,1/16/2018 0:00,220 N 6th St,,Slaton,TX,79364,LB: 8952,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-182,1/16/2018 0:00,,1/16/2018 0:00,7906 Lynnhaven Ave,,Lubbock,TX,79423,LB: 6646,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",rickieortiz,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-34,1/16/2018 0:00,,1/16/2018 0:00,1734 Private Rd 2541,,Quinlan,TX,75474,LB: 0842,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-34__1,1/16/2018 0:00,,1/16/2018 0:00,1734 Private Rd 2541,,Quinlan,TX,75474,LB: 0842,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Ongoing Deficiencies"",""survey"":null,""instructions"":""Kitchen sink needs to be cleaned out and the interior window sills need to be wiped down please."",""options"":null}]",Filemonv,,,Ongoing Deficiencies,,,,,
TX011218-36,1/16/2018 0:00,1/12/2018 0:00,1/16/2018 0:00,4307 Montie St,,Dallas,TX,75210,Vacant Lot,Invoiced,,Fannie Mae,"[{""serviceName"":""Invoice And Complete Field Services Order"",""survey"":null,""instructions"":"""",""options"":null}]",gssbackup1,,,Invoice And Complete Field Services Order,240,,,,
TX011218-54,1/16/2018 0:00,,1/16/2018 0:00,127 Briarmeadow Dr,,Longview,TX,75604,LB: 9001,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":""Per the email the Fannie Mae QC team went to the property and noted that the shower glass was dirty, can your crew please remedy this while they perform the lawn service this week. Thank you"",""options"":null}]",Garycarter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-55,1/16/2018 0:00,,1/16/2018 0:00,3700 Redwood Trl,,Marshall,TX,75672,LB: 0164,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-8,1/16/2018 0:00,,1/16/2018 0:00,15335 FM 90,,Mabank,TX,75147,LB: 4746,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
108-134741__3,1/16/2018 23:00,,1/16/2018 23:00,"6423 22nd St,",,Lubbock,TX,79407,LB: 6411,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",rickieortiz,,,Initial Winterization,$100.00 ,,,,
OK011218-23,1/17/2018 0:00,,1/17/2018 0:00,9413 Nawassa Dr,,Midwest City,OK,73130,LB: 9928,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK011218-24,1/17/2018 0:00,,1/17/2018 0:00,4800 CASPER,,OKLAHOMA CITY,OK,73110,LB: 0949,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK011218-29,1/17/2018 0:00,,1/17/2018 0:00,5  O ST SW,,ARDMORE,OK,73401,LB: 8681,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",hannahlong,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
OK011218-3,1/17/2018 0:00,,1/17/2018 0:00,5425 S DEWEY AVE,,OKLAHOMA CITY,OK,73109,LB: 3117,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK011218-38,1/17/2018 0:00,,1/17/2018 0:00,817  7TH ST N,,PONCA CITY,OK,74601,LB: 6869,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",marcelinodiaz,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK011218-40,1/17/2018 0:00,,1/17/2018 0:00,2103 S MISSOURI PL,,CLAREMORE,OK,74019,LB: 5421,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",marcog,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK011218-41,1/17/2018 0:00,,1/17/2018 0:00,8904 N 140th East Ave,,Owasso,OK,74055,LB: 2083,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK011218-42,1/17/2018 0:00,,1/17/2018 0:00,5511 S ATLANTA AVE,,TULSA,OK,74105,LB: 1590,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK011218-57,1/17/2018 0:00,,1/17/2018 0:00,17268  89TH EAST AVE S,,BIXBY,OK,74008,LB: 2351,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Michaelz,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK011218-80,1/17/2018 0:00,,1/17/2018 0:00,9413 Nawassa Dr,,MIDWEST CITY,OK,73130,LB: 9928,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-118,1/17/2018 0:00,,1/17/2018 0:00,2725 NW 201,,Andrews,TX,79714,LB: 1081,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",JuanDelgado,,,(Ongoing Ext) Periodic Lawn,$50.00 ,,,,
TX011218-119,1/17/2018 0:00,,1/17/2018 0:00,1406 NW 9th St,,Andrews,TX,79714,LB: 0931,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",JuanDelgado,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-125,1/17/2018 0:00,,1/17/2018 0:00,1292 N FM 2869,,Winnsboro,TX,75494,LB: 3746,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-126,1/17/2018 0:00,,1/17/2018 0:00,323 PR 5991,,Yantis,TX,75497,LB: 2327,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-158,1/17/2018 0:00,,1/17/2018 0:00,201 S Lane St,,Decatur,TX,76234,LB: 2852,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",MarkMoeller,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-160,1/17/2018 0:00,,1/17/2018 0:00,7381 FM 2692,,Gordon,TX,76453,LB: 1826,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",MarkMoeller,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX011218-1__2,1/17/2018 0:00,,1/17/2018 0:00,559 County Road 1450,,Chico,TX,76431,LB: 6802,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Deficiencies"",""survey"":"""",""instructions"":""Per the agent the interior still needs to be cleaned."",""options"":null}]",AmberChairez,,,Initial Deficiencies,$0.00 ,,,,
TX011218-23,1/17/2018 0:00,,1/17/2018 0:00,804 N Foley St,,Seymour,TX,76380,LB:  1487,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
TX011218-35,1/17/2018 0:00,,1/17/2018 0:00,3848 Royal Lane,,Dallas,TX,75229,LB: 4471,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-37,1/17/2018 0:00,,1/17/2018 0:00,210 Willowbrook Dr,,Duncanville,TX,75116,LB: 6173,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-38,1/17/2018 0:00,,1/17/2018 0:00,515 Jennifer Trail,,Grand Prairie,TX,75052,LB: 3300,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-39,1/17/2018 0:00,,1/17/2018 0:00,4963 CR 3403,,Lone Oak,TX,75453,LB: 1771,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-4,1/17/2018 0:00,,1/17/2018 0:00,177 FM 2047,,Baird,TX,79504,LB: 9244,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Rubenanahimartinez,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
TX011218-40,1/17/2018 0:00,,1/17/2018 0:00,1961 Saint Andrews Dr,,Ovilla,TX,75154,LB: 4419 Gate Code: 9048,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-41,1/17/2018 0:00,,1/17/2018 0:00,214 Glenn Ave,,Rockwall,TX,75087,LB: 4377,Invoiced,Viewed,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-43,1/17/2018 0:00,,1/17/2018 0:00,201 East Pecan St,,Edgewood,TX,75117,LB: 6183,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-56,1/17/2018 0:00,,1/17/2018 0:00,1551 Snapdragon Road,,Diana,TX,75640,LB: 1821,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-57,1/17/2018 0:00,,1/17/2018 0:00,9547 State Hwy 154 E,,Diana,TX,75640,LB: 0553,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX011218-9,1/17/2018 0:00,,1/17/2018 0:00,321 Winding Shore Dr,,Tool,TX,75143,LB: 3897 | Gate: 2020,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":"""",""instructions"":"""",""options"":null}]",Filemonv,,,(Ongoing Int) Periodic Clean,$15.00 Trip Fee only,,,,
115-082426__2,1/17/2018 23:00,,1/17/2018 23:00,"6423 22nd St,",,Lubbock,TX,79407,LB: 6411,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Deficiencies"",""survey"":"""",""instructions"":""Please place the key back in the lockbox , per our conversation these should never leave the property. Please take photos showing the key is back in the lockbox."",""options"":null}]",rickieortiz,,,Initial Deficiencies,,,,,
115-101848__1,1/17/2018 23:00,,1/17/2018 23:00,301 Glazener Street,,Hawkins,TX,75765,LB: 8453,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Clean Package"",""survey"":null,""instructions"":"""",""options"":null}]",Jenniferh,,,Exterior Window Clean Package,$75.00 ,,,,
OK123141157,1/17/2018 23:00,,1/17/2018 23:00,1008 W Idylwild Dr,,Oklahoma City,OK,73110,LB: 2259,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Interior"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Initial Interior,180,,,,
OK123141157__1,1/17/2018 23:00,,1/17/2018 23:00,1008 W Idylwild Dr,,Oklahoma City,OK,73110,LB: 2259,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Special Start Up Package,75,,,,
OK123141157__3,1/17/2018 23:00,,1/17/2018 23:00,1008 W Idylwild Dr,,Oklahoma City,OK,73110,LB: 2259,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter Package"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Roof and Gutter Package,85,,,,
OK123141157__4,1/17/2018 23:00,,1/17/2018 23:00,1008 W Idylwild Dr,,Oklahoma City,OK,73110,LB: 2259,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Package"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Exterior Window Package,75,,,,
OK123141157__5,1/17/2018 23:00,,1/17/2018 23:00,1008 W Idylwild Dr,,Oklahoma City,OK,73110,LB: 2259,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Window Reglaze"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Window Reglaze,75,,,,
